,prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
8244,21137,12+,2863,The Mountain Cave,blah,blahblah,Minecraft™,LU,329.3878,11.0,4.3,Challenging,4.5,4.2
8245,21136,8+,1122,The Ocean Monument,blah,blahblah,Minecraft™,LU,146.3878,2.0,5.0,Easy,5.0,4.0
8246,21134,8+,729,The Waterfall Base,blah,blahblah,Minecraft™,LU,121.9878,7.0,4.0,Average,4.1,3.7
8247,21135,8+,717,The Crafting Box 2.0,blah,blahblah,Minecraft™,LU,91.4878,1.0,5.0,Challenging,5.0,5.0
8248,21144,8+,549,The Farm Cottage,blah,blahblah,Minecraft™,LU,79.28779999999998,4.0,4.7,Easy,4.8,4.3
8249,21143,8+,470,The Nether Portal,blah,blahblah,Minecraft™,LU,67.0878,1.0,5.0,Average,5.0,5.0
8250,21142,8+,278,The Polar Igloo,blah,blahblah,Minecraft™,LU,54.8878,,,nan,,
8251,21130,8+,387,The Nether Railway,blah,blahblah,Minecraft™,LU,54.8878,6.0,4.2,Easy,4.7,4.2
8252,21123,8+,208,The Iron Golem,blah,blahblah,Minecraft™,LU,30.4878,16.0,4.4,Easy,4.6,4.4
8253,21140,7-14,198,The Chicken Coop,blah,blahblah,Minecraft™,LU,28.0478,4.0,4.5,Average,4.5,5.0
8254,21141,7-14,241,The Zombie Cave,blah,blahblah,Minecraft™,LU,28.0478,2.0,5.0,Average,5.0,4.5
8255,21129,8+,247,The Mushroom Island,blah,blahblah,Minecraft™,LU,24.3878,5.0,5.0,Average,4.6,4.8
8256,21139,6-14,84,The Nether Fight,blah,blahblah,Minecraft™,LU,20.7278,,,nan,,
8257,21138,6-14,69,The Melon Farm,blah,blahblah,Minecraft™,LU,20.7278,4.0,5.0,Easy,4.3,2.7
8258,71020,5+,8,THE LEGO® BATMAN MOVIE Series 2,blah,blahblah,Minifigures,LU,4.8678,13.0,4.3,Very Easy,4.8,4.0
8259,71021,5+,7,Series 18: Party,blah,blahblah,Minifigures,LU,4.8678,14.0,4.5,Very Easy,4.6,4.3
8260,70357,9-14,1426,Knighton Castle,blah,blahblah,NEXO KNIGHTS™,LU,170.7878,5.0,2.0,Challenging,2.6,1.8
8261,72006,8-14,604,Axl's Rolling Arsenal,blah,blahblah,NEXO KNIGHTS™,LU,85.3878,3.0,4.3,Challenging,4.0,4.0
8262,72005,8-14,569,Aaron's X-bow,blah,blahblah,NEXO KNIGHTS™,LU,67.0878,,,nan,,
8263,72004,8-14,506,Tech Wizard Showdown,blah,blahblah,NEXO KNIGHTS™,LU,54.8878,3.0,5.0,Average,5.0,5.0
8264,72003,8-14,369,Berserker Bomber,blah,blahblah,NEXO KNIGHTS™,LU,42.6878,,,nan,,
8265,72002,7-14,191,Twinfector,blah,blahblah,NEXO KNIGHTS™,LU,24.3878,1.0,4.0,Easy,5.0,3.0
8266,72001,7-14,217,Lance's Hover Jouster,blah,blahblah,NEXO KNIGHTS™,LU,24.3878,,,nan,,
8267,70620,16+,4867,NINJAGO® City,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,LU,402.5878,88.0,4.8,Challenging,4.9,4.8
8268,70618,9-14,2295,Destiny's Bounty,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,LU,207.3878,52.0,4.7,Challenging,4.9,4.8
8269,70617,9-14,1403,Temple of The Ultimate Ultimate Weapon,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,LU,134.18779999999998,15.0,4.5,Average,4.8,4.8
8270,70656,9-14,830,"garmadon, Garmadon, GARMADON!",blah,blahblah,THE LEGO® NINJAGO® MOVIE™,LU,109.7878,9.0,4.6,Average,4.9,4.8
8271,70616,9-14,914,Ice Tank,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,LU,109.7878,6.0,4.8,Average,4.8,4.7
8272,70632,9-14,1202,Quake Mech,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,LU,109.7878,11.0,4.7,Average,4.5,4.4
8273,70615,9-14,944,Fire Mech,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,LU,97.5878,19.0,3.6,Average,4.2,4.6
8274,70643,8-14,765,Temple of Resurrection,blah,blahblah,NINJAGO®,LU,91.4878,6.0,3.8,Average,4.2,4.2
8275,70613,8-14,747,Garma Mecha Man,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,LU,85.3878,8.0,4.3,Average,4.5,4.5
8276,70614,9-14,876,Lightning Jet,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,LU,85.3878,8.0,4.7,Average,5.0,4.6
8277,70642,8-14,556,Killow vs. Samurai X,blah,blahblah,NINJAGO®,LU,67.0878,2.0,4.5,Average,4.0,4.5
8278,70631,8-14,521,Garmadon's Volcano Lair,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,LU,67.0878,7.0,4.7,Average,4.3,5.0
8279,70612,8-14,544,Green Ninja Mech Dragon,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,LU,67.0878,29.0,4.6,Average,4.7,4.5
8280,70611,8-14,494,Water Strider,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,LU,54.8878,21.0,4.6,Average,4.5,4.8
8281,70640,8-14,530,S.O.G. Headquarters,blah,blahblah,NINJAGO®,LU,54.8878,,,nan,,
8282,70641,9-14,552,Ninja Nightcrawler,blah,blahblah,NINJAGO®,LU,54.8878,4.0,4.3,Challenging,4.8,4.3
8283,70639,7-14,308,Street Race of Snake Jaguar,blah,blahblah,NINJAGO®,LU,42.6878,3.0,5.0,Average,4.7,4.3
