prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
10739,4-7,-0.4763378153245424,Shark Attack,blah,blahblah,Juniors,GB,22.386,-0.4143334310019652,0.21606411046666346,Easy,-0.04568656278335346,-0.36501011467749017
10737,4-7,-0.5304758032339133,Batman™ vs. Mr. Freeze™,blah,blahblah,Juniors,GB,18.186,-0.4143334310019652,-0.6552785031612287,Easy,-0.04568656278335346,-0.36501011467749017
10738,4-7,-0.5256635376419693,Snow White's Forest Cottage,blah,blahblah,Juniors,GB,18.186,-0.4143334310019652,1.0874067240945555,Average,0.9906509527738996,1.2444576552983015
10758,4-7,-0.42580902660912956,T. rex Breakout,blah,blahblah,Juniors,GB,62.986000000000004,,0.21606411046666346,unknown,0.16158094032809642,0.11783021631524704
10761,4-7,-0.39212316746552095,The Great Home Escape,blah,blahblah,Juniors,GB,41.986000000000004,,0.21606411046666346,unknown,0.16158094032809642,0.11783021631524704
75930,8-12,0.6196556732407222,Indoraptor Rampage at Lockwood Estate,blah,blahblah,Indoraptor Rampage at Lockwood Estate,GB,167.986,-0.4143334310019652,1.0874067240945555,Easy,0.9906509527738996,-0.36501011467749017
75929,7-12,0.08790032533090114,Carnotaurus Gyrosphere Escape,blah,blahblah,Carnotaurus Gyrosphere Escape,GB,83.986,-0.44053428621623847,0.21606411046666346,unknown,0.9906509527738996,0.11783021631524704
75933,7-12,0.12639845006645378,T. rex Transport,blah,blahblah,T. rex Transport,GB,83.986,,0.21606411046666346,unknown,0.16158094032809642,0.11783021631524704
75928,7-12,-0.12865162630658253,Blue's Helicopter Pursuit,blah,blahblah,Blue's Helicopter Pursuit,GB,69.986,,0.21606411046666346,unknown,0.16158094032809642,0.11783021631524704
75932,6-12,-0.17316508303206526,Jurassic Park Velociraptor Chase,blah,blahblah,Jurassic Park Velociraptor Chase,GB,62.986000000000004,-0.36193172057341866,0.7388696786433984,Average,0.9906509527738996,0.11783021631524704
75931,7-12,-0.2585827972890727,Dilophosaurus Outpost Attack,blah,blahblah,Dilophosaurus Outpost Attack,GB,62.986000000000004,-0.44053428621623847,-2.397963730417013,Easy,-1.0820240783406065,-1.9744778846532818
75927,6-12,-0.33918824595413605,Stygimoloch Breakout,blah,blahblah,Stygimoloch Breakout,GB,48.986000000000004,-0.4143334310019652,0.21606411046666346,Average,0.9906509527738996,0.43972377031040566
75926,6-12,-0.454682620160794,Pteranodon Chase,blah,blahblah,Pteranodon Chase,GB,27.986,-0.44053428621623847,-2.397963730417013,Easy,-1.0820240783406065,-3.583945654629073
76105,14+,1.0335105141479133,The Hulkbuster: Ultron Edition,blah,blahblah,Marvel Super Heroes,GB,167.986,0.8957093297116984,-2.0494266849658556,Average,-1.4965590845635082,-0.36501011467749017
76108,8-14,0.6016096772709318,Sanctum Sanctorum Showdown,blah,blahblah,Marvel Super Heroes,GB,125.986,-0.28332915493059885,0.7388696786433984,Average,0.9906509527738996,0.9225641013031428
